#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    96   0.257558E+04  -0.204841E+02   0.375803E-03  -0.204841E+02   0.709647E+00  -0.889151E-06   0.375803E-03  -0.889151E-06   0.104971E-06
    97   0.260601E+04  -0.211388E+02   0.371090E-03  -0.211388E+02   0.724831E+00  -0.877553E-06   0.371090E-03  -0.877553E-06   0.104316E-06
    98   0.263636E+04  -0.217925E+02   0.366453E-03  -0.217925E+02   0.739905E+00  -0.868463E-06   0.366453E-03  -0.868463E-06   0.103666E-06
    99   0.266708E+04  -0.224487E+02   0.361992E-03  -0.224487E+02   0.754859E+00  -0.862319E-06   0.361992E-03  -0.862319E-06   0.103019E-06
   100   0.269838E+04  -0.231099E+02   0.357702E-03  -0.231099E+02   0.769687E+00  -0.859470E-06   0.357702E-03  -0.859470E-06   0.102375E-06
   101   0.273006E+04  -0.237742E+02   0.353497E-03  -0.237742E+02   0.784383E+00  -0.860208E-06   0.353497E-03  -0.860208E-06   0.101736E-06
   102   0.276189E+04  -0.244391E+02   0.349302E-03  -0.244391E+02   0.798933E+00  -0.864873E-06   0.349302E-03  -0.864873E-06   0.101100E-06
   103   0.279378E+04  -0.251029E+02   0.345096E-03  -0.251029E+02   0.813317E+00  -0.873799E-06   0.345096E-03  -0.873799E-06   0.100467E-06
   104   0.282567E+04  -0.257640E+02   0.340870E-03  -0.257640E+02   0.827513E+00  -0.887162E-06   0.340870E-03  -0.887162E-06   0.998392E-07
   105   0.285764E+04  -0.264227E+02   0.336656E-03  -0.264227E+02   0.841502E+00  -0.904792E-06   0.336656E-03  -0.904792E-06   0.992149E-07
   106   0.288990E+04  -0.270800E+02   0.332523E-03  -0.270800E+02   0.855273E+00  -0.926081E-06   0.332523E-03  -0.926081E-06   0.985945E-07
   107   0.292266E+04  -0.277380E+02   0.328556E-03  -0.277380E+02   0.868827E+00  -0.950014E-06   0.328556E-03  -0.950014E-06   0.979822E-07
   108   0.295574E+04  -0.283954E+02   0.324706E-03  -0.283954E+02   0.882149E+00  -0.974964E-06   0.324706E-03  -0.974964E-06   0.973668E-07
   109   0.298883E+04  -0.290482E+02   0.320948E-03  -0.290482E+02   0.895225E+00  -0.999239E-06   0.320948E-03  -0.999239E-06   0.967572E-07
