#    L    TT             EE             BB             TE          
   333   0.300409E+04   0.150801E+02   0.337191E-01   0.110099E+03
   334   0.297334E+04   0.152580E+02   0.338399E-01   0.109212E+03
   335   0.294295E+04   0.154352E+02   0.339602E-01   0.108299E+03
   336   0.291269E+04   0.156108E+02   0.340800E-01   0.107342E+03
   337   0.288279E+04   0.157855E+02   0.341993E-01   0.106359E+03
   338   0.285308E+04   0.159585E+02   0.343181E-01   0.105336E+03
   339   0.282369E+04   0.161305E+02   0.344365E-01   0.104284E+03
   340   0.279457E+04   0.163006E+02   0.345545E-01   0.103197E+03
   341   0.276579E+04   0.164696E+02   0.346720E-01   0.102081E+03
   342   0.273726E+04   0.166365E+02   0.347891E-01   0.100929E+03
   343   0.270910E+04   0.168021E+02   0.349059E-01   0.997510E+02
   344   0.268119E+04   0.169657E+02   0.350222E-01   0.985365E+02
   345   0.265364E+04   0.171277E+02   0.351382E-01   0.972953E+02
   346   0.262641E+04   0.172880E+02   0.352539E-01   0.960245E+02
   347   0.259948E+04   0.174456E+02   0.353693E-01   0.947196E+02
   348   0.257298E+04   0.176019E+02   0.354843E-01   0.933936E+02
   349   0.254672E+04   0.177555E+02   0.355991E-01   0.920303E+02
   350   0.252090E+04   0.179075E+02   0.357136E-01   0.906474E+02
   351   0.249536E+04   0.180566E+02   0.358278E-01   0.892294E+02
   352   0.247022E+04   0.182041E+02   0.359418E-01   0.877894E+02
   353   0.244542E+04   0.183486E+02   0.360556E-01   0.863200E+02
   354   0.242104E+04   0.184914E+02   0.361692E-01   0.848290E+02
   355   0.239699E+04   0.186310E+02   0.362826E-01   0.833089E+02
   356   0.237340E+04   0.187686E+02   0.363958E-01   0.817709E+02
   357   0.235011E+04   0.189031E+02   0.365089E-01   0.802018E+02
   358   0.232729E+04   0.190355E+02   0.366219E-01   0.786159E+02
   359   0.230480E+04   0.191646E+02   0.367348E-01   0.770019E+02
   360   0.228274E+04   0.192915E+02   0.368476E-01   0.753697E+02
   361   0.226107E+04   0.194149E+02   0.369603E-01   0.737141E+02
   362   0.223983E+04   0.195361E+02   0.370730E-01   0.720413E+02
   363   0.221898E+04   0.196537E+02   0.371857E-01   0.703452E+02
   364   0.219859E+04   0.197688E+02   0.372984E-01   0.686345E+02
   365   0.217856E+04   0.198805E+02   0.374111E-01   0.669007E+02
   366   0.215899E+04   0.199894E+02   0.375238E-01   0.651526E+02
   367   0.213982E+04   0.200948E+02   0.376367E-01   0.633850E+02
   368   0.212108E+04   0.201974E+02   0.377496E-01   0.616027E+02
   369   0.210281E+04   0.202969E+02   0.378627E-01   0.598088E+02
   370   0.208490E+04   0.203923E+02   0.379759E-01   0.579928E+02
   371   0.206749E+04   0.204851E+02   0.380893E-01   0.561697E+02
   372   0.205046E+04   0.205738E+02   0.382029E-01   0.543269E+02
   373   0.203389E+04   0.206599E+02   0.383167E-01   0.524753E+02
   374   0.201775E+04   0.207417E+02   0.384307E-01   0.506097E+02
   375   0.200206E+04   0.208207E+02   0.385450E-01   0.487360E+02
   376   0.198679E+04   0.208955E+02   0.386596E-01   0.468491E+02
   377   0.197200E+04   0.209674E+02   0.387745E-01   0.449578E+02
   378   0.195761E+04   0.210349E+02   0.388897E-01   0.430521E+02
   379   0.194370E+04   0.210996E+02   0.390052E-01   0.411432E+02
   380   0.193020E+04   0.211598E+02   0.391211E-01   0.392231E+02
   381   0.191715E+04   0.212170E+02   0.392373E-01   0.372991E+02
   382   0.190456E+04   0.212698E+02   0.393540E-01   0.353682E+02
   383   0.189240E+04   0.213195E+02   0.394711E-01   0.334351E+02
   384   0.188069E+04   0.213648E+02   0.395886E-01   0.314953E+02
   385   0.186944E+04   0.214069E+02   0.397066E-01   0.295561E+02
   386   0.185859E+04   0.214445E+02   0.398250E-01   0.276104E+02
   387   0.184822E+04   0.214789E+02   0.399439E-01   0.256661E+02
   388   0.183827E+04   0.215088E+02   0.400634E-01   0.237187E+02
   389   0.182877E+04   0.215354E+02   0.401833E-01   0.217730E+02
   390   0.181971E+04   0.215575E+02   0.403038E-01   0.198271E+02
   391   0.181107E+04   0.215762E+02   0.404249E-01   0.178844E+02
   392   0.180290E+04   0.215912E+02   0.405466E-01   0.159460E+02
   393   0.179513E+04   0.216014E+02   0.406688E-01   0.140061E+02
   394   0.178780E+04   0.216085E+02   0.407917E-01   0.120724E+02
