#    L    TT             EE             TE             PP             TP          
   166   0.488044E+04   0.966605E+00  -0.437391E+02   0.316569E+07   0.311791E+04
   167   0.490936E+04   0.956316E+00  -0.433652E+02   0.314824E+07   0.309144E+04
   168   0.493752E+04   0.945804E+00  -0.429605E+02   0.313065E+07   0.306431E+04
   169   0.496571E+04   0.935160E+00  -0.425324E+02   0.311347E+07   0.303839E+04
   170   0.499308E+04   0.924326E+00  -0.420723E+02   0.309618E+07   0.301193E+04
   171   0.502016E+04   0.913400E+00  -0.415863E+02   0.307927E+07   0.298606E+04
   172   0.504701E+04   0.902352E+00  -0.410728E+02   0.306227E+07   0.296058E+04
   173   0.507335E+04   0.891247E+00  -0.405315E+02   0.304563E+07   0.293586E+04
   174   0.509984E+04   0.880117E+00  -0.399667E+02   0.302915E+07   0.291249E+04
   175   0.512512E+04   0.868912E+00  -0.393677E+02   0.301254E+07   0.288817E+04
   176   0.515025E+04   0.857754E+00  -0.387444E+02   0.299630E+07   0.286453E+04
   177   0.517492E+04   0.846582E+00  -0.380913E+02   0.297998E+07   0.284134E+04
   178   0.519898E+04   0.835490E+00  -0.374108E+02   0.296398E+07   0.281852E+04
   179   0.522294E+04   0.824466E+00  -0.367042E+02   0.294796E+07   0.279612E+04
   180   0.524653E+04   0.813571E+00  -0.359711E+02   0.293218E+07   0.277370E+04
   181   0.526942E+04   0.802799E+00  -0.352091E+02   0.291636E+07   0.275102E+04
   182   0.529222E+04   0.792224E+00  -0.344228E+02   0.290091E+07   0.272922E+04
   183   0.531409E+04   0.781818E+00  -0.336057E+02   0.288535E+07   0.270662E+04
   184   0.533566E+04   0.771668E+00  -0.327637E+02   0.287014E+07   0.268431E+04
   185   0.535676E+04   0.761757E+00  -0.318940E+02   0.285484E+07   0.266177E+04
   186   0.537734E+04   0.752156E+00  -0.309981E+02   0.283986E+07   0.263955E+04
   187   0.539793E+04   0.742895E+00  -0.300791E+02   0.282506E+07   0.261831E+04
   188   0.541733E+04   0.733958E+00  -0.291291E+02   0.281008E+07   0.259618E+04
   189   0.543662E+04   0.725449E+00  -0.281568E+02   0.279549E+07   0.257459E+04
   190   0.545516E+04   0.717331E+00  -0.271560E+02   0.278077E+07   0.255295E+04
   191   0.547311E+04   0.709692E+00  -0.261303E+02   0.276639E+07   0.253198E+04
   192   0.549080E+04   0.702534E+00  -0.250800E+02   0.275194E+07   0.251147E+04
   193   0.550799E+04   0.695912E+00  -0.240053E+02   0.273776E+07   0.249116E+04
   194   0.552454E+04   0.689844E+00  -0.229052E+02   0.272356E+07   0.247091E+04
   195   0.554091E+04   0.684386E+00  -0.217831E+02   0.270959E+07   0.245141E+04
   196   0.555633E+04   0.679545E+00  -0.206345E+02   0.269564E+07   0.243190E+04
   197   0.557143E+04   0.675385E+00  -0.194639E+02   0.268186E+07   0.241275E+04
   198   0.558591E+04   0.671915E+00  -0.182690E+02   0.266807E+07   0.239333E+04
   199   0.559985E+04   0.669193E+00  -0.170517E+02   0.265458E+07   0.237425E+04
   200   0.561335E+04   0.667241E+00  -0.158121E+02   0.264101E+07   0.235556E+04
   201   0.562631E+04   0.666107E+00  -0.145506E+02   0.262773E+07   0.233721E+04
   202   0.563885E+04   0.665828E+00  -0.132684E+02   0.261460E+07   0.231889E+04
   203   0.565039E+04   0.666417E+00  -0.119622E+02   0.260130E+07   0.230005E+04
   204   0.566142E+04   0.667939E+00  -0.106363E+02   0.258835E+07   0.228158E+04
   205   0.567187E+04   0.670412E+00  -0.928915E+01   0.257528E+07   0.226353E+04
   206   0.568173E+04   0.673888E+00  -0.792234E+01   0.256252E+07   0.224572E+04
   207   0.569088E+04   0.678393E+00  -0.653555E+01   0.254968E+07   0.222754E+04
   208   0.569964E+04   0.683972E+00  -0.513040E+01   0.253709E+07   0.220986E+04
   209   0.570738E+04   0.690652E+00  -0.370532E+01   0.252447E+07   0.219208E+04
