#    L    TT             EE             BB             TE          
   197   0.557266E+04   0.717495E+00   0.256816E-01  -0.191121E+02
   198   0.558709E+04   0.713892E+00   0.257291E-01  -0.179219E+02
   199   0.560097E+04   0.711062E+00   0.257862E-01  -0.167098E+02
   200   0.561441E+04   0.709035E+00   0.258537E-01  -0.154757E+02
   201   0.562731E+04   0.707849E+00   0.259309E-01  -0.142204E+02
   202   0.563978E+04   0.707553E+00   0.260165E-01  -0.129448E+02
   203   0.565126E+04   0.708140E+00   0.261118E-01  -0.116458E+02
   204   0.566221E+04   0.709689E+00   0.262149E-01  -0.103275E+02
   205   0.567259E+04   0.712215E+00   0.263274E-01  -0.898845E+01
   206   0.568237E+04   0.715765E+00   0.264481E-01  -0.763022E+01
   207   0.569143E+04   0.720375E+00   0.265758E-01  -0.625232E+01
   208   0.570010E+04   0.726083E+00   0.267116E-01  -0.485647E+01
   209   0.570775E+04   0.732914E+00   0.268539E-01  -0.344113E+01
   210   0.571499E+04   0.740919E+00   0.270029E-01  -0.200889E+01
   211   0.572137E+04   0.750116E+00   0.271587E-01  -0.558430E+00
   212   0.572716E+04   0.760555E+00   0.273203E-01   0.908306E+00
   213   0.573235E+04   0.772266E+00   0.274880E-01   0.239138E+01
   214   0.573692E+04   0.785285E+00   0.276613E-01   0.389000E+01
   215   0.574079E+04   0.799649E+00   0.278395E-01   0.540382E+01
   216   0.574418E+04   0.815391E+00   0.280227E-01   0.693180E+01
   217   0.574684E+04   0.832546E+00   0.282100E-01   0.847381E+01
   218   0.574879E+04   0.851144E+00   0.284020E-01   0.100296E+02
   219   0.575017E+04   0.871221E+00   0.285978E-01   0.115979E+02
   220   0.575088E+04   0.892813E+00   0.287971E-01   0.131784E+02
   221   0.575119E+04   0.915951E+00   0.289998E-01   0.147703E+02
   222   0.575058E+04   0.940668E+00   0.292051E-01   0.163732E+02
   223   0.574963E+04   0.966997E+00   0.294133E-01   0.179862E+02
   224   0.574778E+04   0.994966E+00   0.296238E-01   0.196090E+02
   225   0.574544E+04   0.102461E+01   0.298363E-01   0.212408E+02
   226   0.574241E+04   0.105596E+01   0.300508E-01   0.228808E+02
   227   0.573881E+04   0.108904E+01   0.302668E-01   0.245288E+02
   228   0.573453E+04   0.112388E+01   0.304840E-01   0.261834E+02
   229   0.572975E+04   0.116052E+01   0.307021E-01   0.278447E+02
   230   0.572417E+04   0.119898E+01   0.309210E-01   0.295113E+02
   231   0.571809E+04   0.123928E+01   0.311403E-01   0.311831E+02
   232   0.571126E+04   0.128146E+01   0.313598E-01   0.328588E+02
   233   0.570386E+04   0.132554E+01   0.315792E-01   0.345384E+02
   234   0.569592E+04   0.137154E+01   0.317984E-01   0.362212E+02
   235   0.568715E+04   0.141949E+01   0.320171E-01   0.379052E+02
   236   0.567801E+04   0.146942E+01   0.322351E-01   0.395917E+02
   237   0.566795E+04   0.152134E+01   0.324522E-01   0.412776E+02
   238   0.565749E+04   0.157528E+01   0.326682E-01   0.429645E+02
   239   0.564622E+04   0.163126E+01   0.328828E-01   0.446496E+02
   240   0.563445E+04   0.168931E+01   0.330959E-01   0.463341E+02
   241   0.562199E+04   0.174942E+01   0.333072E-01   0.480154E+02
   242   0.560904E+04   0.181164E+01   0.335167E-01   0.496948E+02
   243   0.559536E+04   0.187596E+01   0.337241E-01   0.513694E+02
   244   0.558126E+04   0.194242E+01   0.339292E-01   0.530407E+02
   245   0.556638E+04   0.201102E+01   0.341320E-01   0.547055E+02
   246   0.555107E+04   0.208180E+01   0.343323E-01   0.563655E+02
   247   0.553509E+04   0.215473E+01   0.345298E-01   0.580179E+02
   248   0.551862E+04   0.222986E+01   0.347247E-01   0.596637E+02
   249   0.550175E+04   0.230720E+01   0.349165E-01   0.613026E+02
   250   0.548405E+04   0.238672E+01   0.351054E-01   0.629300E+02
   251   0.546613E+04   0.246848E+01   0.352912E-01   0.645507E+02
   252   0.544740E+04   0.255244E+01   0.354737E-01   0.661583E+02
