#    L    TT             EE             BB             TE          
   173   0.507769E+04   0.933727E+00   0.185906E-01  -0.404712E+02
   174   0.510420E+04   0.921608E+00   0.182032E-01  -0.398953E+02
   175   0.512951E+04   0.909393E+00   0.178257E-01  -0.392862E+02
   176   0.515469E+04   0.897266E+00   0.174601E-01  -0.386534E+02
   177   0.517941E+04   0.885114E+00   0.171125E-01  -0.379915E+02
   178   0.520353E+04   0.873050E+00   0.167758E-01  -0.373031E+02
   179   0.522756E+04   0.861093E+00   0.164536E-01  -0.365892E+02
   180   0.525123E+04   0.849270E+00   0.161467E-01  -0.358495E+02
   181   0.527421E+04   0.837599E+00   0.158492E-01  -0.350815E+02
   182   0.529709E+04   0.826150E+00   0.155665E-01  -0.342899E+02
   183   0.531905E+04   0.814867E+00   0.152960E-01  -0.334682E+02
   184   0.534072E+04   0.803869E+00   0.150375E-01  -0.326223E+02
   185   0.536193E+04   0.793121E+00   0.147938E-01  -0.317493E+02
   186   0.538261E+04   0.782699E+00   0.145616E-01  -0.308506E+02
   187   0.540331E+04   0.772655E+00   0.143432E-01  -0.299293E+02
   188   0.542282E+04   0.762938E+00   0.141341E-01  -0.289778E+02
   189   0.544222E+04   0.753689E+00   0.139365E-01  -0.280042E+02
   190   0.546087E+04   0.744832E+00   0.137524E-01  -0.270029E+02
   191   0.547894E+04   0.736473E+00   0.135786E-01  -0.259772E+02
   192   0.549674E+04   0.728627E+00   0.134173E-01  -0.249272E+02
   193   0.551405E+04   0.721327E+00   0.132675E-01  -0.238535E+02
   194   0.553071E+04   0.714614E+00   0.131269E-01  -0.227547E+02
   195   0.554718E+04   0.708536E+00   0.129976E-01  -0.216342E+02
   196   0.556271E+04   0.703085E+00   0.128775E-01  -0.204878E+02
   197   0.557792E+04   0.698345E+00   0.127675E-01  -0.193198E+02
   198   0.559251E+04   0.694310E+00   0.126680E-01  -0.181278E+02
   199   0.560655E+04   0.691043E+00   0.125773E-01  -0.169139E+02
   200   0.562015E+04   0.688576E+00   0.124962E-01  -0.156778E+02
   201   0.563321E+04   0.686944E+00   0.124240E-01  -0.144202E+02
   202   0.564583E+04   0.686198E+00   0.123595E-01  -0.131421E+02
   203   0.565747E+04   0.686330E+00   0.123040E-01  -0.118405E+02
   204   0.566858E+04   0.687420E+00   0.122554E-01  -0.105193E+02
   205   0.567912E+04   0.689484E+00   0.122155E-01  -0.917715E+01
   206   0.568905E+04   0.692567E+00   0.121832E-01  -0.781561E+01
   207   0.569827E+04   0.696708E+00   0.121570E-01  -0.643420E+01
   208   0.570709E+04   0.701944E+00   0.121384E-01  -0.503460E+01
   209   0.571490E+04   0.708300E+00   0.121255E-01  -0.361529E+01
   210   0.572229E+04   0.715827E+00   0.121186E-01  -0.217885E+01
   211   0.572883E+04   0.724545E+00   0.121180E-01  -0.723974E+00
   212   0.573477E+04   0.734502E+00   0.121225E-01   0.747412E+00
   213   0.574011E+04   0.745730E+00   0.121324E-01   0.223536E+01
   214   0.574483E+04   0.758265E+00   0.121473E-01   0.373910E+01
   215   0.574886E+04   0.772144E+00   0.121665E-01   0.525827E+01
   216   0.575239E+04   0.787401E+00   0.121902E-01   0.679184E+01
   217   0.575520E+04   0.804069E+00   0.122174E-01   0.833967E+01
   218   0.575729E+04   0.822181E+00   0.122488E-01   0.990148E+01
   219   0.575882E+04   0.841773E+00   0.122835E-01   0.114761E+02
   220   0.575967E+04   0.862881E+00   0.123211E-01   0.130632E+02
   221   0.576012E+04   0.885536E+00   0.123618E-01   0.146618E+02
   222   0.575965E+04   0.909771E+00   0.124046E-01   0.162717E+02
   223   0.575883E+04   0.935621E+00   0.124497E-01   0.178920E+02
   224   0.575712E+04   0.963114E+00   0.124968E-01   0.195223E+02
   225   0.575490E+04   0.992284E+00   0.125455E-01   0.211618E+02
   226   0.575200E+04   0.102316E+01   0.125958E-01   0.228098E+02
   227   0.574853E+04   0.105578E+01   0.126472E-01   0.244659E+02
   228   0.574437E+04   0.109016E+01   0.126995E-01   0.261290E+02
   229   0.573970E+04   0.112634E+01   0.127525E-01   0.277990E+02
   230   0.573424E+04   0.116434E+01   0.128057E-01   0.294744E+02
   231   0.572828E+04   0.120420E+01   0.128592E-01   0.311554E+02
   232   0.572155E+04   0.124594E+01   0.129126E-01   0.328405E+02
   233   0.571426E+04   0.128958E+01   0.129657E-01   0.345297E+02
   234   0.570643E+04   0.133517E+01   0.130184E-01   0.362224E+02
   235   0.569775E+04   0.138270E+01   0.130703E-01   0.379164E+02
   236   0.568871E+04   0.143222E+01   0.131213E-01   0.396132E+02
   237   0.567874E+04   0.148373E+01   0.131711E-01   0.413096E+02
   238   0.566837E+04   0.153729E+01   0.132198E-01   0.430072E+02
   239   0.565719E+04   0.159288E+01   0.132669E-01   0.447033E+02
   240   0.564550E+04   0.165055E+01   0.133124E-01   0.463989E+02
